"TableName","ColumnName","DataType","MaxLen"
"TB_Chr100","ChrCode","char","6"
"TB_Chr100","ChrName","varchar","50"
"TB_Chr100","NohCode","char","4"
"TB_Chr100","SichalCode","char","4"
"TB_Chr100","OrgYN","char","1"
"TB_Chr100","Environment","char","1"
"TB_Chr100","PostNo","char","6"
"TB_Chr100","Address","varchar","100"
"TB_Chr100","Juso","varchar","100"
"TB_Chr100","EstDate","char","8"
"TB_Chr100","EndDate","char","8"
"TB_Chr100","Tel_Church","varchar","20"
"TB_Chr100","Tel_Home","varchar","20"
"TB_Chr100","Tel_Mobile","varchar","20"
"TB_Chr100","Tel_Fax","varchar","20"
"TB_Chr100","HomePage","varchar","50"
"TB_Chr100","Email","varchar","50"
"TB_Chr100","Remark","text","2147483647"
"TB_Chr100","DelGu","char","1"
"TB_Chr100","iDate","varchar","20"
"TB_Chr100","iUser","varchar","20"
"TB_Chr100","uDate","varchar","20"
"TB_Chr100","uUser","varchar","20"
"TB_Chr100","Cnt","int",""
"TB_Chr100","NohCheck","char","1"
"TB_Chr100","AddressBook","char","1"
"TB_Chr100","PostCheck","char","1"
"TB_Chr100","HJcode","char","5"
"TB_Chr101","ChrCode","char","6"
"TB_Chr101","ClassCode","char","2"
"TB_Chr101","Mcnt","int",""
"TB_Chr101","iDate","varchar","20"
"TB_Chr101","iUser","varchar","20"
"TB_Chr102","ChrCode","char","6"
"TB_Chr102","Ground_Pyoung","int",""
"TB_Chr102","Building_Pyoung","int",""
"TB_Chr102","Lease_Pyoung","int",""
"TB_Chr102","Rent_Pyoung","int",""
"TB_Chr102","Owner_Gubun","char","1"
"TB_Chr102","AdjunctName","varchar","50"
"TB_Chr102","Remark","varchar","100"
"TB_Chr102","iDate","varchar","20"
"TB_Chr102","iUser","varchar","20"
"TB_Chr102","uDate","varchar","20"
"TB_Chr102","uUser","varchar","20"
"TB_Chr103","ChrCode","char","6"
"TB_Chr103","ClassCode","char","3"
"TB_Chr103","Amt","int",""
"TB_Chr103","iDate","varchar","20"
"TB_Chr103","iUser","varchar","20"
"TB_Chr103","uDate","varchar","20"
"TB_Chr103","uUser","varchar","20"
"TB_Chr110","ChrCode","char","6"
"TB_Chr110","ChangeDate","char","8"
"TB_Chr110","ChangeGubun","char","1"
"TB_Chr110","Prev_PostNo","char","6"
"TB_Chr110","Prev_Address","varchar","100"
"TB_Chr110","Prev_Juso","varchar","100"
"TB_Chr110","Prev_ChrName","varchar","50"
"TB_Chr110","Prev_NohCode","char","4"
"TB_Chr110","Prev_SichalCode","char","4"
"TB_Chr110","Curr_PostNo","char","6"
"TB_Chr110","Curr_Address","varchar","100"
"TB_Chr110","Curr_Juso","varchar","100"
"TB_Chr110","Curr_ChrName","varchar","50"
"TB_Chr110","Curr_NohCode","char","4"
"TB_Chr110","Curr_SichalCode","char","4"
"TB_Chr110","MergeGubun","char","1"
"TB_Chr110","MergeChrCode","char","6"
"TB_Chr110","Remark","varchar","100"
"TB_Chr200","MinisterCode","char","6"
"TB_Chr200","MinisterName","varchar","30"
"TB_Chr200","JuminNo","char","14"
"TB_Chr200","ChineseName","varchar","30"
"TB_Chr200","EnglishName","varchar","30"
"TB_Chr200","SexGubun","char","1"
"TB_Chr200","AnsuDate","char","8"
"TB_Chr200","AnsuNoh","varchar","20"
"TB_Chr200","StartDate","char","8"
